# Respuestas leídas celda a celda de 16_plantilla_de_respuestas_gestion.pdf
# El PDF no lleva tabla de caracteres: la geometría sale de los
# bordes de la tabla y las cuatro letras se nombran por OCR de la
# celda, por mayoría. Reparto de códigos: p1:'\x02'=c, p1:'\x05'=a, p1:'\r'=d, p1:'\x15'=b, p2:'\x02'=c, p2:'\x05'=a, p2:'\r'=d, p2:'\x15'=b, p3:'\x02'=c, p3:'\x05'=a, p3:'\r'=d, p3:'\x15'=b, p4:'\x02'=c, p4:'\x05'=a, p4:'\r'=d, p4:'\x15'=b, p5:'\x05'=a, p5:'\x15'=b
1	d
2	c
3	c
4	d
5	d
6	c
7	a
8	b
9	c
10	a
11	d
12	d
13	c
14	d
15	a
16	d
17	b
18	c
19	c
20	a
21	a
22	d
23	b
24	a
25	b
26	a
27	d
28	c
29	c
30	d
31	b
32	a
33	a
34	c
35	b
36	c
37	a
38	a
39	c
40	b
41	d
42	d
43	c
44	a
45	b
46	a
47	a
48	a
49	a
50	a
51	b
52	b
53	c
54	c
55	a
56	a
57	c
58	a
59	a
60	b
61	c
62	a
63	a
64	a
65	a
66	c
67	a
68	b
69	b
70	c
71	d
72	b
73	d
74	a
75	a
76	b
77	b
78	b
79	c
80	b
81	a
82	b
83	c
84	c
85	b
86	b
87	b
88	c
89	c
90	c
91	b
92	b
93	d
94	a
95	a
96	a
97	d
98	c
99	d
100	b
101	c
102	c
103	a
104	a
105	b
106	c
107	a
108	b
