# Respuestas leídas celda a celda de 18_plantilla_de_respuestas_gestion_abogado_a.pdf
# El PDF no lleva tabla de caracteres: la geometría sale de los
# bordes de la tabla y las cuatro letras se nombran por OCR de la
# celda, por mayoría. Reparto de códigos: p1:'\x02'=c, p1:'\x05'=a, p1:'\x0f'=b, p1:'\x16'=d, p2:'\x02'=c, p2:'\x05'=a, p2:'\x0f'=b, p2:'\x16'=d, p3:'\x02'=c, p3:'\x05'=a, p3:'\x0f'=b, p3:'\x16'=d, p4:'\x02'=c, p4:'\x05'=a, p4:'\x0f'=b, p4:'\x16'=d
1	a
2	c
3	b
4	a
5	c
6	c
7	b
8	b
9	d
10	c
11	a
12	a
13	c
14	b
15	b
16	d
17	b
18	b
19	c
20	c
21	d
22	d
23	c
24	b
25	a
26	b
27	b
28	a
29	b
30	a
31	a
32	d
33	d
34	c
35	d
36	c
37	b
38	a
39	d
40	d
41	b
42	c
43	d
44	c
45	d
46	c
47	d
48	d
49	b
50	a
51	d
52	b
53	d
54	c
55	b
56	c
57	b
58	c
59	b
60	c
61	c
62	d
63	b
64	d
65	c
66	c
67	d
68	c
69	d
70	a
71	a
72	c
73	a
74	a
75	d
76	c
77	b
78	a
79	c
80	c
81	c
82	b
83	a
84	d
85	a
86	c
87	a
88	b
89	c
90	b
91	b
92	d
93	b
94	a
95	b
96	b
