bloque	titulo	redacciones	vigencia	publicacion	norma	aviso
preambulo		1	20100430	20100429	BOE-A-2010-6737	
ci	CAPÍTULO I	1	20100430	20100429	BOE-A-2010-6737	
a1	Artículo 1	3	20210429	20210428	BOE-A-2021-6872	
a2	Artículo 2	6	20221019	20220929	BOE-A-2022-15818	
cii	CAPÍTULO II	1	20100430	20100429	BOE-A-2010-6737	
s1	Sección 1	1	20100430	20100429	BOE-A-2010-6737	
a3	Artículo 3	2	20210429	20210428	BOE-A-2021-6872	
a4	Artículo 4	3	20210429	20210428	BOE-A-2021-6872	
a4-3	Artículo 4 bis	1	20210429	20210428	BOE-A-2021-6872	
a4-4	Artículo 4 ter	1	20210429	20210428	BOE-A-2021-6872	
a5	Artículo 5	1	20100430	20100429	BOE-A-2010-6737	
a6	Artículo 6	1	20100430	20100429	BOE-A-2010-6737	
a7	Artículo 7	4	20210429	20210428	BOE-A-2021-6872	
a8	Artículo 8	2	20180904	20180904	BOE-A-2018-12131	
s2	Sección 2	1	20100430	20100429	BOE-A-2010-6737	
a9	Artículo 9	2	20131230	20131210	BOE-A-2013-12887	
a10	Artículo 10	2	20131230	20131210	BOE-A-2013-12887	
s3	Sección 3	1	20100430	20100429	BOE-A-2010-6737	
a11	Artículo 11	2	20180904	20180904	BOE-A-2018-12131	
a12	Artículo 12	3	20221019	20220929	BOE-A-2022-15818	
a13	Artículo 13	2	20180904	20180904	BOE-A-2018-12131	
a14	Artículo 14	4	20210429	20210428	BOE-A-2021-6872	
a15	Artículo 15	2	20210429	20210428	BOE-A-2021-6872	
a16	Artículo 16	1	20100430	20100429	BOE-A-2010-6737	
ciii	CAPÍTULO III	1	20100430	20100429	BOE-A-2010-6737	
a17	Artículo 17	1	20100430	20100429	BOE-A-2010-6737	
a18	Artículo 18	2	20210429	20210428	BOE-A-2021-6872	
a19	Artículo 19	1	20100430	20100429	BOE-A-2010-6737	
a20	Artículo 20	1	20100430	20100429	BOE-A-2010-6737	
a21	Artículo 21	1	20100430	20100429	BOE-A-2010-6737	
a22	Artículo 22	1	20100430	20100429	BOE-A-2010-6737	
a23	Artículo 23	1	20100430	20100429	BOE-A-2010-6737	
a24	Artículo 24	2	20210429	20210428	BOE-A-2021-6872	
a25	Artículo 25	3	20210429	20210428	BOE-A-2021-6872	
civ	CAPÍTULO IV	1	20100430	20100429	BOE-A-2010-6737	
a26	Artículo 26	3	20180904	20180904	BOE-A-2018-12131	
a2-2	Artículo 26 bis	1	20180904	20180904	BOE-A-2018-12131	
a2-3	Artículo 26 ter	1	20180904	20180904	BOE-A-2018-12131	
a27	Artículo 27	2	20180904	20180904	BOE-A-2018-12131	
a28	Artículo 28	2	20180904	20180904	BOE-A-2018-12131	
a29	Artículo 29	1	20100430	20100429	BOE-A-2010-6737	
a30	Artículo 30	2	20180904	20180904	BOE-A-2018-12131	
a31	Artículo 31	2	20210429	20210428	BOE-A-2021-6872	
a32	Artículo 32	2	20221019	20220929	BOE-A-2022-15818	
a3-2	Artículo 32 bis	1	20210429	20210428	BOE-A-2021-6872	
a3-3	Artículo 32 ter	1	20221019	20220929	BOE-A-2022-15818	
a33	Artículo 33	3	20221019	20220929	BOE-A-2022-15818	
cv	CAPÍTULO V	1	20100430	20100429	BOE-A-2010-6737	
a34	Artículo 34	2	20210429	20210428	BOE-A-2021-6872	
a35	Artículo 35	2	20210429	20210428	BOE-A-2021-6872	
a36	Artículo 36	1	20100430	20100429	BOE-A-2010-6737	
a37	Artículo 37	1	20100430	20100429	BOE-A-2010-6737	
cvi	CAPÍTULO VI	1	20100430	20100429	BOE-A-2010-6737	
a38	Artículo 38	2	20180904	20180904	BOE-A-2018-12131	
a39	Artículo 39	1	20100430	20100429	BOE-A-2010-6737	
a40	Artículo 40	1	20100430	20100429	BOE-A-2010-6737	
a41	Artículo 41	1	20110429	20100429	BOE-A-2010-6737	
a42	Artículo 42	5	20260322	20260321	BOE-A-2026-6544	
a43	Artículo 43	3	20220829	20220729	BOE-A-2022-12644	
cvii	CAPÍTULO VII	1	20100430	20100429	BOE-A-2010-6737	
a44	Artículo 44	3	20221019	20220929	BOE-A-2022-15818	
a45	Artículo 45	2	20221019	20220929	BOE-A-2022-15818	
a46	Artículo 46	2	20210429	20210428	BOE-A-2021-6872	
a47	Artículo 47	2	20180904	20180904	BOE-A-2018-12131	
a48	Artículo 48	3	20210429	20210428	BOE-A-2021-6872	
a4-2	Artículo 48 bis	2	20210429	20210428	BOE-A-2021-6872	
a49	Artículo 49	1	20100430	20100429	BOE-A-2010-6737	
cviii	CAPÍTULO VIII	1	20100430	20100429	BOE-A-2010-6737	
a50	Artículo 50	1	20100430	20100429	BOE-A-2010-6737	
a51	Artículo 51	2	20180904	20180904	BOE-A-2018-12131	
a52	Artículo 52	4	20210429	20210428	BOE-A-2021-6872	
a53	Artículo 53	1	20100430	20100429	BOE-A-2010-6737	
a54	Artículo 54	1	20100430	20100429	BOE-A-2010-6737	
a55	Artículo 55	1	20100430	20100429	BOE-A-2010-6737	
a56	Artículo 56	2	20180904	20180904	BOE-A-2018-12131	
a57	Artículo 57	2	20180904	20180904	BOE-A-2018-12131	
a58	Artículo 58	2	20180904	20180904	BOE-A-2018-12131	
a59	Artículo 59	2	20180904	20180904	BOE-A-2018-12131	
a60	Artículo 60	1	20100430	20100429	BOE-A-2010-6737	
a61	Artículo 61	4	20221019	20220929	BOE-A-2022-15818	
a62	Artículo 62	1	20100430	20100429	BOE-A-2010-6737	
a6-2	Artículo 63	1	20180904	20180904	BOE-A-2018-12131	
a6-3	Artículo 64	1	20180904	20180904	BOE-A-2018-12131	
a6-4	Artículo 65	3	20230313	20230221	BOE-A-2023-4513	
da	Disposición adicional	2	20180904	20180904	BOE-A-2018-12131	
da-2	Disposición adicional primera	1	20210429	20210428	BOE-A-2021-6872	
da-3	Disposición adicional segunda	1	20210429	20210428	BOE-A-2021-6872	
da-4	Disposición adicional tercera	2		20210428	BOE-A-2021-6872	POSIBLE REFORMA CRUZADA
da-5	Disposición adicional cuarta	2		20210428	BOE-A-2021-6872	POSIBLE REFORMA CRUZADA
da-6	Disposición adicional quinta	1	20210429	20210428	BOE-A-2021-6872	
da-7	Disposición adicional sexta	1	20210429	20210428	BOE-A-2021-6872	
dtprimera	Disposición transitoria primera	1	20100430	20100429	BOE-A-2010-6737	
dtsegunda	Disposición transitoria segunda	1	20100430	20100429	BOE-A-2010-6737	
dttercera	Disposición transitoria tercera	1	20100430	20100429	BOE-A-2010-6737	
dtcuarta	Disposición transitoria cuarta	1	20100430	20100429	BOE-A-2010-6737	
dtquinta	Disposición transitoria quinta	1	20100430	20100429	BOE-A-2010-6737	
dtsexta	Disposición transitoria sexta	1	20100430	20100429	BOE-A-2010-6737	
dtseptima	Disposición transitoria séptima	1	20100430	20100429	BOE-A-2010-6737	
dtoctava	Disposición transitoria octava	1	20100430	20100429	BOE-A-2010-6737	
dd	Disposición derogatoria	1	20100430	20100429	BOE-A-2010-6737	
dfprimera	Disposición final primera	1	20100430	20100429	BOE-A-2010-6737	
dfsegunda	Disposición final segunda	1	20100430	20100429	BOE-A-2010-6737	
dftercera	Disposición final tercera	1	20100430	20100429	BOE-A-2010-6737	
dfcuarta	Disposición final cuarta	2	20180904	20180904	BOE-A-2018-12131	
dfquinta	Disposición final quinta	1	20100430	20100429	BOE-A-2010-6737	
dfsexta	Disposición final sexta	1	20100430	20100429	BOE-A-2010-6737	
dfseptima	Disposición final séptima	1	20100430	20100429	BOE-A-2010-6737	
firma		1	20100430	20100429	BOE-A-2010-6737	
