bloque	titulo	redacciones	vigencia	publicacion	norma	aviso
preambulo	preambulo	1	19960216	19960117	BOE-A-1996-1069	
ti	TÍTULO I	2	20150818	20150729	BOE-A-2015-8470	
ci	CAPÍTULO I	2	20150812	20150723	BOE-A-2015-8222	
a1	Artículo 1	1	19960216	19960117	BOE-A-1996-1069	
a2	Artículo 2	3	20210625	20210605	BOE-A-2021-9347	
cii	CAPÍTULO II	1	19960216	19960117	BOE-A-1996-1069	
a3	Artículo 3	2	20150812	20150723	BOE-A-2015-8222	
a4	Artículo 4	1	19960216	19960117	BOE-A-1996-1069	
a5	Artículo 5	2	20150818	20150729	BOE-A-2015-8470	
a6	Artículo 6	1	19960216	19960117	BOE-A-1996-1069	
a7	Artículo 7	2	20150818	20150729	BOE-A-2015-8470	
a8	Artículo 8	1	19960216	19960117	BOE-A-1996-1069	
a9	Artículo 9	2	20150812	20150723	BOE-A-2015-8222	
ciii	CAPÍTULO III	1	20150818	20150729	BOE-A-2015-8470	
a9bis	Artículo 9 bis	1	20150818	20150729	BOE-A-2015-8470	
a9ter	Artículo 9 ter	1	20150818	20150729	BOE-A-2015-8470	
a9quater	Artículo 9 quáter	1	20150818	20150729	BOE-A-2015-8470	
a9quinquies	Artículo 9 quinquies	1	20150818	20150729	BOE-A-2015-8470	
civ-2	CAPÍTULO IV	2	20150818	20150729	BOE-A-2015-8470	
a10	Artículo 10	3	20150818	20150729	BOE-A-2015-8470	
a11	Artículo 11	2	20150818	20150729	BOE-A-2015-8470	
tii	TÍTULO II	1	19960216	19960117	BOE-A-1996-1069	
ci-2	CAPÍTULO I	1	19960216	19960117	BOE-A-1996-1069	
a12	Artículo 12	3	20210625	20210605	BOE-A-2021-9347	
a13	Artículo 13	3	20210625	20210605	BOE-A-2021-9347	
a14	Artículo 14	2	20150818	20150729	BOE-A-2015-8470	
a1-2	Artículo 14 bis	1	20210625	20210605	BOE-A-2021-9347	
a15	Artículo 15	1	19960216	19960117	BOE-A-1996-1069	
a16	Artículo 16	1	19960216	19960117	BOE-A-1996-1069	
a17	Artículo 17	3	20210625	20210605	BOE-A-2021-9347	
a1-3	Artículo 17 bis	1	20210625	20210605	BOE-A-2021-9347	
a18	Artículo 18	2	20150818	20150729	BOE-A-2015-8470	
a19	Artículo 19	2	20150818	20150729	BOE-A-2015-8470	
a19bis	Artículo 19 bis	1	20150818	20150729	BOE-A-2015-8470	
a20	Artículo 20	3	20210625	20210605	BOE-A-2021-9347	
a20bis	Artículo 20 bis	1	20150818	20150729	BOE-A-2015-8470	
a2-2	Artículo 20 ter	1	20210625	20210605	BOE-A-2021-9347	
a2-3	Artículo 20 quater	1	20210625	20210605	BOE-A-2021-9347	
a2-4	Artículo 20 quinquies	1	20210625	20210605	BOE-A-2021-9347	
a21	Artículo 21	2	20150818	20150729	BOE-A-2015-8470	
a21bis	Artículo 21 bis	1	20150818	20150729	BOE-A-2015-8470	
a2-5	Artículo 21 ter	1	20210625	20210605	BOE-A-2021-9347	
a22	Artículo 22	1	19960216	19960117	BOE-A-1996-1069	
a22bis	Artículo 22 bis	1	20150818	20150729	BOE-A-2015-8470	
a22ter	Artículo 22 ter	1	20150818	20150729	BOE-A-2015-8470	
a22quater	Artículo 22 quáter	1	20150818	20150729	BOE-A-2015-8470	
a22quinquies	Artículo 22 quinquies	1	20150818	20150729	BOE-A-2015-8470	
cii-2	CAPÍTULO II	1	19960216	19960117	BOE-A-1996-1069	
a23	Artículo 23	2	20150818	20150729	BOE-A-2015-8470	
ciii-2	CAPÍTULO III	1	19960216	19960117	BOE-A-1996-1069	
a24	Artículo 24	2	20150818	20150729	BOE-A-2015-8470	
civ	CAPÍTULO IV	1	20150812	20150723	BOE-A-2015-8222	
a25	Artículo 25	3	20150812	20150723	BOE-A-2015-8222	
a26	Artículo 26	1	20150812	20150723	BOE-A-2015-8222	
a27	Artículo 27	2	20210625	20210605	BOE-A-2021-9347	
a28	Artículo 28	2	20210625	20210605	BOE-A-2021-9347	
a29	Artículo 29	2	20210625	20210605	BOE-A-2021-9347	
a30	Artículo 30	2	20210625	20210605	BOE-A-2021-9347	
a31	Artículo 31	1	20150812	20150723	BOE-A-2015-8222	
a32	Artículo 32	1	20150812	20150723	BOE-A-2015-8222	
a33	Artículo 33	1	20150812	20150723	BOE-A-2015-8222	
a34	Artículo 34	1	20150812	20150723	BOE-A-2015-8222	
a35	Artículo 35	1	20150812	20150723	BOE-A-2015-8222	
daprimera	Disposición adicional primera	1	19960216	19960117	BOE-A-1996-1069	
dasegunda	Disposición adicional segunda	1	19960216	19960117	BOE-A-1996-1069	
datercera	Disposición adicional tercera	1	19960216	19960117	BOE-A-1996-1069	
dtunica	Disposición transitoria única	1	19960216	19960117	BOE-A-1996-1069	
ddunica	Disposición derogatoria única	1	19960216	19960117	BOE-A-1996-1069	
dfprimera	Disposición final primera	1	19960216	19960117	BOE-A-1996-1069	
dfsegunda	Disposición final segunda	1	19960216	19960117	BOE-A-1996-1069	
dftercera	Disposición final tercera	1	19960216	19960117	BOE-A-1996-1069	
dfcuaa	Disposición final cuarta	1	19960216	19960117	BOE-A-1996-1069	
dfquinta	Disposición final quinta	1	19960216	19960117	BOE-A-1996-1069	
dfsexta	Disposición final sexta	1	19960216	19960117	BOE-A-1996-1069	
dfseptima	Disposición final séptima	1	19960216	19960117	BOE-A-1996-1069	
dfoctava	Disposición final octava	1	19960216	19960117	BOE-A-1996-1069	
dfnovena	Disposición final novena	1	19960216	19960117	BOE-A-1996-1069	
dfdecima	Disposición final décima	1	19960216	19960117	BOE-A-1996-1069	
dfundecima	Disposición final undécima	1	19960216	19960117	BOE-A-1996-1069	
dfduodecima	Disposición final duodécima	2	20110105	20110105	BOE-A-2011-273	
dfdecimotercera	Disposición final decimotercera	1	19960216	19960117	BOE-A-1996-1069	
dfdecimocuaa	Disposición final decimocuarta	1	19960216	19960117	BOE-A-1996-1069	
dfdecimoquinta	Disposición final decimoquinta	1	19960216	19960117	BOE-A-1996-1069	
dfdecimosexta	Disposición final decimosexta	1	19960216	19960117	BOE-A-1996-1069	
dfdecimoseptima	Disposición final decimoséptima	1	19960216	19960117	BOE-A-1996-1069	
dfdecimoctava	Disposición final decimoctava	1	19960216	19960117	BOE-A-1996-1069	
dfdecimonovena	Disposición final decimonovena	1	19960216	19960117	BOE-A-1996-1069	
dfvigesima	Disposición final vigésima	1	19960216	19960117	BOE-A-1996-1069	
dfvigesimaprimera	Disposición final vigésima primera	1	19960216	19960117	BOE-A-1996-1069	
dfvigesimasegunda	Disposición final vigésima segunda	1	19960216	19960117	BOE-A-1996-1069	
dfvigesimatercera	Disposición final vigésima tercera	3	20150812	20150723	BOE-A-2015-8222	
dfvigesimacuaa	Disposición final vigésima cuarta	1	19960216	19960117	BOE-A-1996-1069	
firma		1	19960216	19960117	BOE-A-1996-1069	
