bloque	titulo	redacciones	vigencia	publicacion	norma	aviso
pr	[preambulo]	1	20000120	19991231	BOE-A-2000-1009	
ci	CAPÍTULO I	1	20000120	19991231	BOE-A-2000-1009	
a1	Artículo 1	3	20141010	20141009	BOE-A-2014-10663	
a2	Artículo 2	3	20141010	20141009	BOE-A-2014-10663	
a3	Artículo 3	3	20141010	20141009	BOE-A-2014-10663	
a4	Artículo 4	1	20000120	19991231	BOE-A-2000-1009	
a5	Artículo 5	4	20240217	20240216	BOE-A-2024-90030	
a6	Artículo 6	3	20141010	20141009	BOE-A-2014-10663	
a7	Artículo 7	3	20141010	20141009	BOE-A-2014-10663	
a8	Artículo 8	1	20000120	19991231	BOE-A-2000-1009	
ci-2	CAPÍTULO II	1	20000120	19991231	BOE-A-2000-1009	
a9	Artículo 9	3	20141010	20141009	BOE-A-2014-10663	
a1-2	Artículo 10	3	20141010	20141009	BOE-A-2014-10663	
a1-3	Artículo 11	1	20000120	19991231	BOE-A-2000-1009	
ci-3	CAPÍTULO III	1	20000120	19991231	BOE-A-2000-1009	
a1-4	Artículo 12	3	20141010	20141009	BOE-A-2014-10663	
a1-5	Artículo 13	1	20000120	19991231	BOE-A-2000-1009	
a1-6	Artículo 14	4	20141010	20141009	BOE-A-2014-10663	
ci-4	CAPÍTULO IV	1	20000120	19991231	BOE-A-2000-1009	
a1-7	Artículo 15	1	20000120	19991231	BOE-A-2000-1009	
a1-8	Artículo 16	1	20000120	19991231	BOE-A-2000-1009	
a1-9	Artículo 17	1	20000120	19991231	BOE-A-2000-1009	
cv	CAPÍTULO V	1	20000120	19991231	BOE-A-2000-1009	
a1-10	Artículo 18	1	20000120	19991231	BOE-A-2000-1009	
a1-11	Artículo 19	4	20141010	20141009	BOE-A-2014-10663	
a2-2	Artículo 20	3	20141010	20141009	BOE-A-2014-10663	
a2-3	Artículo 21	3	20141010	20141009	BOE-A-2014-10663	
a2-4	Artículo 22	1	20000120	19991231	BOE-A-2000-1009	
a2-5	Artículo 23	3	20141010	20141009	BOE-A-2014-10663	
a2-6	Artículo 24	1	20000120	19991231	BOE-A-2000-1009	
a2-7	Artículo 25	1	20000120	19991231	BOE-A-2000-1009	
a2-8	Artículo 26	1	20000120	19991231	BOE-A-2000-1009	
a2-9	Artículo 27	1	20000120	19991231	BOE-A-2000-1009	
a2-10	Artículo 28	1	20000120	19991231	BOE-A-2000-1009	
a2-11	Artículo 29	3	20141010	20141009	BOE-A-2014-10663	
a3-2	Artículo 30	1	20000120	19991231	BOE-A-2000-1009	
a3-3	Artículo 31	2	20030101	20021224	BOE-A-2003-992	
a3-4	Artículo 32	1	20000120	19991231	BOE-A-2000-1009	
da	Disposición adicional primera	1	20000120	19991231	BOE-A-2000-1009	
da-2	Disposición adicional segunda	1	20000120	19991231	BOE-A-2000-1009	
da-3	Disposición adicional tercera	2	20240217	20240216	BOE-A-2024-90030	
dt	Disposición transitoria primera	2	20030101	20021224	BOE-A-2003-992	
dt-2	Disposición transitoria segunda	1	20000120	19991231	BOE-A-2000-1009	
dd	Disposición derogatoria única	1	20000120	19991231	BOE-A-2000-1009	
df	Disposición final primera	1	20000120	19991231	BOE-A-2000-1009	
df-2	Disposición final segunda	1	20000120	19991231	BOE-A-2000-1009	
df-3	Disposición final tercera	1	20000120	19991231	BOE-A-2000-1009	
firma		1	20000120	19991231	BOE-A-2000-1009	
