bloque	titulo	redacciones	vigencia	publicacion	norma	aviso
preambulo		1	19950927	19950926	BOE-A-1995-21346	
ci	CAPITULO I	1	19950927	19950926	BOE-A-1995-21346	
a1	Artículo 1	1	19950927	19950926	BOE-A-1995-21346	
a2	Artículo 2	1	19950927	19950926	BOE-A-1995-21346	
cii	CAPITULO II	1	19950927	19950926	BOE-A-1995-21346	
s1	SECCIÓN 1	1	19950927	19950926	BOE-A-1995-21346	
a3	Artículo 3	1	19950927	19950926	BOE-A-1995-21346	
a4	Artículo 4	1	19950927	19950926	BOE-A-1995-21346	
s2	SECCIÓN 2	1	19950927	19950926	BOE-A-1995-21346	
a5	Artículo 5	1	19950927	19950926	BOE-A-1995-21346	
s3	SECCIÓN 3	1	19950927	19950926	BOE-A-1995-21346	
a6	Artículo 6	1	19950927	19950926	BOE-A-1995-21346	
a7	Artículo 7	1	19950927	19950926	BOE-A-1995-21346	
s4	SECCIÓN 4	1	19950927	19950926	BOE-A-1995-21346	
ss1	Subsección 1	1	19950927	19950926	BOE-A-1995-21346	
a8	Artículo 8	1	19950927	19950926	BOE-A-1995-21346	
a9	Artículo 9	1	19950927	19950926	BOE-A-1995-21346	
ss2	Subsección 2	1	19950927	19950926	BOE-A-1995-21346	
a10	Artículo 10	3	20111218	20111217	BOE-A-2011-19656	
a10bis	Artículo 10 bis	1	20070807	20070718	BOE-A-2007-13823	
a11	Artículo 11	2	20070807	20070718	BOE-A-2007-13823	
a12	Artículo 12	2	20070807	20070718	BOE-A-2007-13823	
ss3	Subsección 3	1	19950927	19950926	BOE-A-1995-21346	
a13	Artículo 13	1	19950927	19950926	BOE-A-1995-21346	
ss4	Subsección 4	2	20040319	20040227	BOE-A-2004-3633	
a14	Artículo 14	2	20040319	20040227	BOE-A-2004-3633	
a14bis	Artículo 14 bis	1	20040319	20040227	BOE-A-2004-3633	
ss5	Subsección 5	2	20020630	20020405	BOE-A-2002-6472	
a15	Artículo 15	2	20020630	20020405	BOE-A-2002-6472	
a16	Artículo 16	2	20020630	20020405	BOE-A-2002-6472	
a17	Artículo 17	2	20020630	20020405	BOE-A-2002-6472	
a18	Artículo 18	2	20020630	20020405	BOE-A-2002-6472	
a18bis	Artículo 18 bis	1	20020630	20020405	BOE-A-2002-6472	
s5	SECCIÓN 5	1	19950927	19950926	BOE-A-1995-21346	
a19	Artículo 19	1	19950927	19950926	BOE-A-1995-21346	
a20	Artículo 20	1	19950927	19950926	BOE-A-1995-21346	
a21	Artículo 21	1	19950927	19950926	BOE-A-1995-21346	
a22	Artículo 22	1	19950927	19950926	BOE-A-1995-21346	
ciii	CAPITULO III	1	19950927	19950926	BOE-A-1995-21346	
s1-2	SECCIÓN 1	1	19950927	19950926	BOE-A-1995-21346	
a23	Artículo 23	1	19950927	19950926	BOE-A-1995-21346	
s2-2	SECCIÓN 2	1	19950927	19950926	BOE-A-1995-21346	
a24	Artículo 24	1	19950927	19950926	BOE-A-1995-21346	
s3-2	SECCIÓN 3	1	19950927	19950926	BOE-A-1995-21346	
a25	Artículo 25	1	19950927	19950926	BOE-A-1995-21346	
a26	Artículo 26	1	19950927	19950926	BOE-A-1995-21346	
a27	Artículo 27	1	19950927	19950926	BOE-A-1995-21346	
a28	Artículo 28	1	19950927	19950926	BOE-A-1995-21346	
s4-2	SECCIÓN 4	1	19950927	19950926	BOE-A-1995-21346	
a29	Artículo 29	1	19950927	19950926	BOE-A-1995-21346	
a30	Artículo 30	1	19950927	19950926	BOE-A-1995-21346	
s5-2	SECCIÓN 5	1	19950927	19950926	BOE-A-1995-21346	
a31	Artículo 31	1	19950927	19950926	BOE-A-1995-21346	
civ	CAPITULO IV	1	19950927	19950926	BOE-A-1995-21346	
a32	Artículo 32	1	19950927	19950926	BOE-A-1995-21346	
a33	Artículo 33	1	20160731	20160730	BOE-A-2016-7338	
daprimera	Disposición adicional primera	1	19950927	19950926	BOE-A-1995-21346	
dasegunda	Disposición adicional segunda	1	19950927	19950926	BOE-A-1995-21346	
datercera	Disposición adicional tercera	1	19950927	19950926	BOE-A-1995-21346	
dacuarta	Disposición adicional cuarta	2	20200703	20200702	BOE-A-2020-7044	
daquinta	Disposición adicional quinta	1	20020630	20020405	BOE-A-2002-6472	
dasexta	Disposición adicional sexta	1	20040319	20040227	BOE-A-2004-3633	
daseptima	Disposición adicional séptima	1	20081005	20081004	BOE-A-2008-16007	
dtunica	Disposición transitoria única	1	19950927	19950926	BOE-A-1995-21346	
ddunica	Disposición derogatoria única	1	19950927	19950926	BOE-A-1995-21346	
dfprimera	Disposición final primera	1	19950927	19950926	BOE-A-1995-21346	
dfsegunda	Disposición final segunda	1	19950927	19950926	BOE-A-1995-21346	
ani	Anexo I	1	20020630	20020405	BOE-A-2002-6472	
anii	Anexo II	1	20020630	20020405	BOE-A-2002-6472	
firma		1	19950927	19950926	BOE-A-1995-21346	
