# Respuestas leídas celda a celda de 24_plantilla_de_respuestas_gea.pdf
# El PDF no lleva tabla de caracteres: la geometría sale de los
# bordes de la tabla y las cuatro letras se nombran por OCR de la
# celda, por mayoría. Reparto de códigos: p1:'a'=a, p1:'b'=b, p1:'c'=c, p1:'d'=d, p2:'a'=a, p2:'b'=b, p2:'c'=c, p2:'d'=d, p3:'a'=a, p3:'b'=b, p3:'c'=c, p3:'d'=d, p4:'a'=a, p4:'b'=b, p4:'c'=c, p4:'d'=d
1	c
2	a
3	c
4	a
5	c
6	c
7	a
8	d
9	b
10	c
11	a
12	b
13	b
14	d
15	c
16	a
17	b
18	c
19	b
20	a
21	b
22	b
23	d
24	c
25	a
26	c
27	d
28	a
29	a
30	a
31	d
32	d
33	a
34	c
35	b
36	b
37	a
38	c
39	d
40	d
41	b
42	b
43	a
44	b
45	b
46	d
47	a
48	a
49	d
50	c
51	c
52	c
53	b
54	a
55	a
56	d
57	b
58	d
59	a
60	b
61	c
62	b
63	c
64	a
65	d
66	b
67	a
68	a
69	b
70	b
71	c
72	b
73	c
74	b
75	b
76	c
77	c
78	c
79	c
80	c
81	a
82	b
83	a
84	a
85	c
86	d
87	c
88	a
89	c
90	b
91	c
92	c
93	a
94	c
95	d
96	a
