bloque	titulo	redacciones	vigencia	publicacion	norma	aviso
no		1				NINGUNA EN VIGOR AL CORTE
preambulo		1	20070325	20070324	BOE-A-2007-6237	
a1	Artículo 1	1	20070325	20070324	BOE-A-2007-6237	
a2	Artículo 2	1	20070325	20070324	BOE-A-2007-6237	
a3	Artículo 3	1	20070325	20070324	BOE-A-2007-6237	
a4	Artículo 4	1	20070325	20070324	BOE-A-2007-6237	
a5	Artículo 5	1	20070325	20070324	BOE-A-2007-6237	
a6	Artículo 6	2	20081004	20081003	BOE-A-2008-15919	
a7	Artículo 7	1	20070325	20070324	BOE-A-2007-6237	
a8	Artículo 8	2	20081004	20081003	BOE-A-2008-15919	
a9	Artículo 9	1	20070325	20070324	BOE-A-2007-6237	
dtunica	Disposición transitoria única	1	20070325	20070324	BOE-A-2007-6237	
ddunica	Disposición derogatoria única	1	20070325	20070324	BOE-A-2007-6237	
dfprimera	Disposición final primera	1	20070325	20070324	BOE-A-2007-6237	
dfsegunda	Disposición final segunda	2	20081004	20081003	BOE-A-2008-15919	
dftercera	Disposición final tercera	1	20070325	20070324	BOE-A-2007-6237	
dfcuaa	Disposición final cuarta	1	20070325	20070324	BOE-A-2007-6237	
firma		1	20070325	20070324	BOE-A-2007-6237	
norma	NORMA	2	20081004	20081003	BOE-A-2008-15919	
ani	ANEXO I	1	20070325	20070324	BOE-A-2007-6237	
anii	ANEXO II	1	20070325	20070324	BOE-A-2007-6237	
aniii	ANEXO III	1	20070325	20070324	BOE-A-2007-6237	
aniv	ANEXO IV	1	20070325	20070324	BOE-A-2007-6237	
