bloque	titulo	redacciones	vigencia	publicacion	norma	aviso
preambulo		1	20090901	20090831	BOE-A-2009-13988	
ci	CAPÍTULO I	1	20090901	20090831	BOE-A-2009-13988	
a1	Artículo 1	1	20090901	20090831	BOE-A-2009-13988	
a2	Artículo 2	3	20220709	20220708	BOE-A-2022-11311	
a3	Artículo 3	2	20220709	20220708	BOE-A-2022-11311	
cii	CAPÍTULO II	1	20090901	20090831	BOE-A-2009-13988	
a4	Artículo 4	5	20220709	20220708	BOE-A-2022-11311	
a5	Artículo 5	3	20220709	20220708	BOE-A-2022-11311	
a6	Artículo 6	3	20220709	20220708	BOE-A-2022-11311	
ciii	CAPÍTULO III	1	20090901	20090831	BOE-A-2009-13988	
a7	Artículo 7	4	20220709	20220708	BOE-A-2022-11311	
civ	CAPÍTULO IV	1	20090901	20090831	BOE-A-2009-13988	
a8	Artículo 8	1	20090901	20090831	BOE-A-2009-13988	
cv	CAPÍTULO V	1	20090901	20090831	BOE-A-2009-13988	
a9	Artículo 9	1	20090901	20090831	BOE-A-2009-13988	
daprimera	Disposición adicional primera	1	20090901	20090831	BOE-A-2009-13988	
dasegunda	Disposición adicional segunda	1	20090901	20090831	BOE-A-2009-13988	
datercera	Disposición adicional tercera	1	20090901	20090831	BOE-A-2009-13988	
dacuaa	Disposición adicional cuarta	2	20220709	20220708	BOE-A-2022-11311	
daquinta	Disposición adicional quinta	1	20090901	20090831	BOE-A-2009-13988	
dasexta	Disposición adicional sexta	2	20220709	20220708	BOE-A-2022-11311	
dtprimera	Disposición transitoria primera	2	20100501	20100401	BOE-A-2010-5292	
dtsegunda	Disposición transitoria segunda	1	20090901	20090831	BOE-A-2009-13988	
dttercera	Disposición transitoria tercera	2	20091227	20091223	BOE-A-2009-20725	
dtcuaa	Disposición transitoria cuarta	1	20090901	20090831	BOE-A-2009-13988	
dtquinta	Disposición transitoria quinta	1	20090901	20090831	BOE-A-2009-13988	
ddunica	Disposición derogatoria única	1	20090901	20090831	BOE-A-2009-13988	
dfprimera	Disposición final primera	2	20091227	20091223	BOE-A-2009-20725	
dfsegunda	Disposición final segunda	1	20090901	20090831	BOE-A-2009-13988	
dftercera	Disposición final tercera	1	20090901	20090831	BOE-A-2009-13988	
firma		1	20090901	20090831	BOE-A-2009-13988	
